time,vsched,vroll
60.7,31.75440021,31.49745713
60.8,32.03440027,31.84108748
60.9,32.31440001,32.14930643
61,32.59440007,32.4640337
61.1,32.77640009,32.76303315
61.2,32.95640013,33.15530627
61.3,33.13640018,33.40410846
61.4,33.3164,33.6058004
61.5,33.49640005,33.76857421
61.6,33.67640009,33.9296032
61.7,33.85640013,34.07187593
61.8,34.03640018,34.19505809
61.9,34.2164,34.31222244
62,34.39640005,34.4228565
62.1,34.50780005,34.52289961
62.2,34.61780008,34.63445611
62.3,34.72780011,34.75228666
62.4,34.8378,34.87435604
62.5,34.94780003,34.99739422
62.6,35.05780005,35.05980524
62.7,35.16780008,35.18569371
62.8,35.27780011,35.29655717
62.9,35.3878,35.40525851
63,35.49780003,35.50691222
63.1,35.58820004,35.59638388
63.2,35.67820007,35.68911581
63.3,35.76820009,35.7719303
63.4,35.8582,35.85916663
63.5,35.94820002,35.93560702
63.6,36.03820004,36.02108145
63.7,36.12820007,36.09872736
63.8,36.21820009,36.22165084
63.9,36.3082,36.29733718
64,36.39820002,36.37805055
64.1,36.49800005,36.45472033
64.2,36.59800007,36.53305197
64.3,36.6980001,36.61081256
64.4,36.798,36.69018133
64.5,36.89800003,36.76926214
64.6,36.99800005,36.84910921
64.7,37.09800007,36.93466417
64.8,37.1980001,37.01914539
64.9,37.298,37.11094512
65,37.39800003,37.19550199
65.1,37.50780005,37.24039888
65.2,37.61780008,37.33281356
65.3,37.72780011,37.42080152
65.4,37.8378,37.50668592
65.5,37.94780003,37.59436884
65.6,38.05780005,37.68140751
65.7,38.16780008,37.76849499
65.8,38.27780011,37.85595827
65.9,38.3878,37.94688681
66,38.49780003,38.03885491
66.1,38.57840004,38.13606725
66.2,38.65840006,38.23767216
66.3,38.73840008,38.36892444
66.4,38.8184,38.55879793
66.5,38.89840002,38.67547909
66.6,38.97840004,38.79204068
66.7,39.05840006,38.89929003
66.8,39.13840008,38.99884996
66.9,39.2184,39.08510041
67,39.29840002,39.17299563
67.1,39.31960001,39.233757
67.2,39.33960001,39.30099985
67.3,39.35960002,39.35720028
67.4,39.3796,39.41912568
67.5,39.39960001,39.46736336
67.6,39.41960001,39.5150837
67.7,39.43960001,39.53626074
67.8,39.45960002,39.56806779
67.9,39.4796,39.59686837
68,39.49960001,39.61600287
68.1,39.45099998,39.63745079
68.2,39.40099996,39.65338116
68.3,39.35099995,39.67524637
68.4,39.301,39.68858757
68.5,39.25099999,39.7011381
68.6,39.20099998,39.70096972
68.7,39.15099996,39.69571084
68.8,39.10099995,39.66474326
68.9,39.051,39.59800312
69,39.00099999,39.553831
69.1,38.95099998,39.50482706
69.2,38.90099996,39.4530558
69.3,38.85099995,39.36215899
69.4,38.801,39.30189056
69.5,38.75099999,39.24878201
69.6,38.70099998,39.16056223
69.7,38.65099996,39.10425687
69.8,38.60099995,39.02283824
69.9,38.551,38.95061471
70,38.50099999,38.8212732
70.1,38.38239994,38.60620103
70.2,38.26239991,38.41588339
70.3,38.14239988,38.32370298
70.4,38.0224,38.14326862
70.5,37.90239997,37.9322498
70.6,37.78239994,37.75550764
70.7,37.66239991,37.55525793
70.8,37.54239988,37.37501879
70.9,37.4224,37.18392758
71,37.30239997,37.0236014
71.1,37.27059999,36.90200301
71.2,37.24059998,36.80127174
71.3,37.21059997,36.7067047
71.4,37.1806,36.61288683
71.5,37.15059999,36.48289864
71.6,37.12059999,36.42227636
71.7,37.09059998,36.38327039
71.8,37.06059997,36.42688123
71.9,37.0306,36.4356078
72,37.00059999,36.46064297
72.1,36.97059999,36.4882234
72.2,36.94059998,36.52064785
72.3,36.91059997,36.55266721
72.4,36.8806,36.57090123
72.5,36.85059999,36.60619793
72.6,36.82059999,36.62526898
72.7,36.79059998,36.63565496
72.8,36.76059997,36.64913281
72.9,36.7306,36.65855486
73,36.70059999,36.68066411
73.1,36.62159996,36.69724848
73.2,36.54159994,36.71818393
73.3,36.46159992,36.73000969
73.4,36.3816,36.74444171
73.5,36.30159998,36.74546908
73.6,36.22159996,36.73133722
73.7,36.14159994,36.68651354
73.8,36.06159992,36.61475367
73.9,35.9816,36.53611944
74,35.90159998,36.48866022
74.1,35.84119997,36.38436121
74.2,35.78119996,36.31428516
74.3,35.72119994,36.24907997
74.4,35.6612,36.18507786
74.5,35.60119998,36.11252489
74.6,35.54119997,36.05826451
74.7,35.48119996,36.01329685
74.8,35.42119994,35.96752389
74.9,35.3612,35.92268312
75,35.30119998,35.8763684
75.1,35.23139997,35.82957295
75.2,35.16139995,35.78324603
75.3,35.09139993,35.73113801
75.4,35.0214,35.6474084
75.5,34.95139998,35.60868794
75.6,34.88139997,35.54766546
75.7,34.81139995,35.47864362
75.8,34.74139993,35.41447313
75.9,34.6714,35.34656408
76,34.60139998,35.27085822
76.1,34.56079998,35.21426979
76.2,34.52079997,35.14396191
76.3,34.48079996,35.08060404
76.4,34.4408,35.02299311
76.5,34.40079999,34.95190677
76.6,34.36079998,34.90024045
76.7,34.32079997,34.79888689
76.8,34.28079996,34.74482906
76.9,34.2408,34.67648319
77,34.20079999,34.57461474
77.1,33.97459989,34.38822601
77.2,33.74459983,34.2250227
77.3,33.51459978,34.01401853
77.4,33.2846,33.80088396
77.5,33.05459994,33.56299729
77.6,32.82459989,33.30009741
77.7,32.59459983,33.02686767
77.8,32.36459978,32.76690837
77.9,32.1346,32.48328778
78,31.90459994,32.20729561
78.1,31.44919977,32.06983761
78.2,30.98919966,31.76995721
78.3,30.52919955,31.42578024
78.4,30.06919999,31.06070929
78.5,29.60919988,30.6452117
78.6,29.14919977,30.19493965
78.7,28.68919966,29.71714085
78.8,28.22919955,29.23156965
78.9,27.76919999,28.77281506
79,27.30919988,28.29733212
79.1,26.78059974,27.8208096
79.2,26.25059961,27.34374046
79.3,25.72059948,26.62230561
79.4,25.19059999,26.14514129
79.5,24.66059986,25.66395534
79.6,24.13059974,25.18411644
79.7,23.60059961,24.71274298
79.8,23.07059948,24.23005868
79.9,22.54059999,23.73611232
80,22.01059986,23.23328566
80.1,21.50999975,22.68881261
80.2,21.00999963,22.13328006
80.3,20.50999951,21.57357945
80.4,20.00999999,21.01163375
80.5,19.50999987,20.44366047
80.6,19.00999975,20.16181643
80.7,18.50999963,19.62859933
80.8,18.00999951,19.11546967
80.9,17.50999999,18.61669149
81,17.00999987,18.12741956
81.1,16.72559986,17.6657854
81.2,16.44559979,17.2945795
81.3,16.16559973,16.99152425
81.4,15.88559999,16.69819488
81.5,15.60559993,16.41669614
81.6,15.32559986,16.13918365
81.7,15.04559979,15.87582987
81.8,14.76559973,15.61584738
81.9,14.48559999,15.21892302
82,14.20559993,14.9478615
82.1,13.98439989,14.66990976
82.2,13.76439984,14.41045194
82.3,13.54439979,14.15108685
82.4,13.3244,13.8917486
82.5,13.10439994,13.63836472
82.6,12.88439989,13.39331207
82.7,12.66439984,13.158549
82.8,12.44439979,12.92478524
82.9,12.2244,12.69592651
83,12.00439994,12.46422238
83.1,11.71579986,12.2307478
83.2,11.42579979,12.11130176
83.3,11.13579972,11.86736433
83.4,10.84579999,11.61172072
83.5,10.55579993,11.3505742
83.6,10.26579986,11.07598155
83.7,9.975799787,10.77161097
83.8,9.685799718,10.48427256
83.9,9.395799994,10.20645809
84,9.105799925,9.93356756
84.1,8.776599836,9.648013632
84.2,8.446599758,9.337924178
84.3,8.116599679,9.056279632
84.4,7.786599994,8.617348321
84.5,7.456599915,8.319758155
84.6,7.126599836,8.028620178
84.7,6.796599758,7.738250901
84.8,6.466599679,7.451733658
84.9,6.136599994,7.172985155
85,5.806599915,6.903058385
85.1,5.584399891,6.63844479
85.2,5.364399838,6.383684571
85.3,5.144399786,6.141787856
85.4,4.924399996,5.913303716
85.5,4.704399943,5.705797123
85.6,4.484399891,5.527350397
85.7,4.264399838,5.342524691
85.8,4.044399786,5.247493381
85.9,3.824399996,5.057800164
86,3.604399943,4.87061925
86.1,3.462799931,4.682401507
86.2,3.322799897,4.485318105
86.3,3.182799864,4.288631253
86.4,3.042799997,4.087474662
